,source,relation,destination
146,Infectious particles,suspended in,larger droplets
147,Infectious particles,remain,ground
148,Various groups,utilize in,terms
149,Various groups,utilize in,such airborne
150,Various groups,utilize in,technical ways
151,Various groups,leading to,confusion
152,Various groups,leading to,terminology
153,COVID-19 research,redefined,traditional understanding
154,largest droplets,inhaled,mucous membranes
155,largest droplets,inhaled,eyes
156,Aerosols,are,concentration
157,people,are,close proximity
158,people,lead to,easier viral transmission
159,airborne transmission,occur at,longer distances
160,airborne transmission,occur at,locations
161,airborne transmission,ventilated,conditions
162,small particles,suspended in,air
163,small particles,suspended in,minutes
164,small particles,suspended in,hours
165,SARS CoV-2,isolated from,three people
166,SARS CoV-2,isolated from,pneumonia connected
167,SARS CoV-2,isolated from,cluster
168,SARS CoV-2,isolated from,acute respiratory illness cases
169,SARS CoV-2,isolated from,Wuhan
170,structural features,occur in,related coronaviruses
171,structural features,occur in,nature
172,virus,destroyed by,household soap
173,virus,burst,virus protective bubble
174,SARS CoV-2,is,original CoV. SARS CoV-2
175,coronavirus,revealed,genus Betacoronavirus
176,coronavirus,revealed,subgenus Sarbecovirus
177,coronavirus,derived,strains
178,It,is,whole genome level
179,It,is,other bat coronavirus samples
180,structural proteins,include,membrane glycoprotein
181,M protein,is,M protein
182,M protein,is,bat SARS CoV
183,M protein,maintain,98 % homology
184,M protein,maintain,pangolin SARS CoV
185,M protein,has,90 % homology
186,M protein,has,M protein
187,M protein,has,SARS CoV
188,similarity,is,M protein
189,similarity,is,MERS CoV.
190,structure,resemble,sugar transporter
191,many thousands,grouped into,clades or
192,Nextstrain,divide into,variants
193,Nextstrain,divide into,five clades
194,GISAID,divide into,five clades
195,GISAID,divide into,seven
196,lineages,classed under,B.1 lineage
197,Several notable variants,emerged in,late 2020
198,Cluster,emerged among,minks and
199,Cluster,emerged among,mink Denmark
200,three newer variants,spreading among,global populations
201,three newer variants,including,UK Variant
202,three newer variants,referred to,B.1.1.7
203,three newer variants,find in,London and
204,three newer variants,discovered in,South Africa
205,three newer variants,referred to,B.1.351
206,three newer variants,discovered in,Brazil
207,three newer variants,referred to,P.1
208,Using,Using,whole genome sequencing
209,UK variant,suggest,first investigation
210,UK variant,suggest,December 2020
211,UK variant,suggest,B.1.1.7 lineage
212,UK variant,transmit,other strains
213,COVID-19,affect,upper respiratory tract
214,lungs,affected by,COVID-19
215,virus,access via,host cells
216,virus,access via,receptor
217,virus,converting,enzyme
218,virus,is,surface
219,virus,is,II alveolar cells
220,virus,is,lungs
221,virus,use,special surface glycoprotein called
222,virus,connect to,ACE2 receptor
223,virus,enter,host cell
224,is,invade,nervous system
225,many people,is,COVID-19
226,many people,is,mental issues
227,virus,detected in,CNS
228,virus,detected in,majority
229,virus,detected in,COVID-19 people
230,virus,detected in,neurological issues
231,SARS CoV-2,detected at,low levels
232,SARS CoV-2,detected at,brains
233,SARS CoV-2,detected at,those
234,who,died from,COVID-19
235,SARS CoV-2,cause through,respiratory failure
236,SARS CoV-2,affecting,brain stem
237,other coronaviruses,invade,CNS
238,virus,detected in,cerebrospinal fluid
239,virus,detected in,autopsies
240,exact mechanism,detected in,which
241,virus,invade by,CNS
242,virus,involve given,invasion
243,virus,involve given,peripheral nerves
244,virus,give,low levels
245,virus,give,ACE2
246,virus,give,brain
247,virus,enter from,bloodstream
248,virus,enter from,lungs
249,virus,cross,brain barrier
250,virus,gain within,access
251,virus,gain within,CNS
252,virus,infected,white blood cell
253,virus,affect,gastrointestinal organs
254,ACE2,expressed in,glandular cells
255,ACE2,expressed in,gastric epithelium as
256,ACE2,expressed in,small intestine
257,virus,cause,acute myocardial injury and
258,virus,cause,cardiovascular system
259,acute cardiac injury,find in,12 %
260,acute cardiac injury,find in,infected people
261,acute cardiac injury,admitted to,hospital
262,acute cardiac injury,admitted to,Wuhan
263,acute cardiac injury,is,severe disease
264,Rates,owing to,systemic inflammatory response and
265,Rates,owing to,immune disease progression
266,acute myocardial injuries,related to,ACE2 receptors
267,acute myocardial injuries,related to,heart
268,ACE2 receptors,expressed in,heart
269,ACE2 receptors,involved in,heart function
270,people,transferred to,Intensive care unit
271,people,transferred to,COVID-19 infections
272,people,related to,poor prognosis
273,Blood vessel dysfunction,suggested by,high dimer levels caused
274,Blood vessel dysfunction,suggested by,blood clots
275,Blood vessel dysfunction,play,significant role
276,Blood vessel dysfunction,play,mortality
277,Blood vessel dysfunction,play,clots
278,Blood vessel dysfunction,leading to,pulmonary embolisms
279,ischaemic events,leading to,brain
280,ischaemic events,noted as,complications leading
281,ischaemic events,noted as,death
282,ischaemic events,noted as,people infected
283,ischaemic events,noted as,SARS CoV-2
284,Infection,set,chain
285,Infection,set,vasoconstrictive responses
286,Infection,set,body
287,constriction,set,blood vessels
288,constriction,set,pulmonary circulation
289,constriction,posited as,mechanism
290,constriction,posited as,which
291,oxygenation,decrease alongside,presentation
292,oxygenation,decrease alongside,viral pneumonia
293,microvascular blood vessel damage,reported in,small number
294,microvascular blood vessel damage,reported in,tissue samples
295,microvascular blood vessel damage,reported in,brains
296,microvascular blood vessel damage,detected,SARS CoV-2
297,microvascular blood vessel damage,detected,olfactory those
298,who,died from,COVID-19
299,common cause,related to,kidneys
300,up to 30 %,hospitalized,patients
301,up to 30 %,hospitalized,both China
302,up to 30 %,hospitalized,New York
303,up to 30 %,experienced to,injury
304,up to 30 %,experienced to,30 %
305,up to 30 %,hospitalized,patients
306,up to 30 %,hospitalized,both China
307,up to 30 %,hospitalized,New York kidneys
308,up to 30 %,including,persons
309,up to 30 %,including,previous kidney problems
310,who,died of,COVID-19
311,who,find,alveolar damage
312,who,containing,inflammatory lung
313,SARS CoV-2,has,tropism
314,SARS CoV-2,ACE2-expressing,epithelial cells
315,SARS CoV-2,ACE2-expressing,respiratory tract
316,people,ACE2-expressing,severe COVID-19
317,people,have,symptoms
318,people,have,systemic hyperinflammation
319,indicative,underlying,immunopathology
320,people,have,classical serum biomarkers
321,people,have,CRS
322,people,including,reactive protein
323,Systemic inflammation,allowing,inflammatory lymphocytic infiltration
324,Systemic inflammation,allowing,lung and
325,T cells,correlate with,recruitment
326,T cells,correlate with,inflammatory IL-6-secreting monocytes and
327,T cells,correlate with,severe lung people
328,T cells,correlate with,COVID-19
329,infiltrates,reported at,autopsy
330,host factors,affect,pathogenesis
331,host factors,affect,virus
332,S protein,know as,spike protein
333,S protein,attach to,host receptor
334,S protein,attach to,ACE2 receptors
335,S protein,know as,spike protein
336,S protein,include,two subunits
337,S1,determine via,host range and
338,S1,binding,domain
339,S2,mediate,membrane fusion
340,S2,mediate,virus
341,S2,mediate,potential cell host
342,S2,mediate,H1 and
343,S1 domain,induced at,IgG and
344,S1 domain,induced at,higher IgA antibody capacity
345,It,involved in,many effective COVID-19 vaccines
346,M protein,is,transmembrane transport
347,M protein,is,nutrients
348,spike protein,is,bud release and
349,spike protein,is,viral envelope
350,N protein,interfere with,immune response
351,Human angiotensin,converting,enzyme 2
352,Human angiotensin,is,host that
353,usage,upregulating,ACE2 expression
354,usage,increase,morbidity
355,usage,increase,COVID-19
356,animal data,suggest,potential protective effect
357,animal data,suggest,ARB
358,clinical studies,prove,susceptibility or
359,further data,is,hypertensive patients
360,effect,lead to,leukocytic infiltration
361,effect,decreased,lung surfactants
362,effects,cause,majority
363,effects,cause,respiratory symptoms
364,cytokine storm,leading to,systemic inflammatory response syndrome
365,35 %,have,T cells
366,35 %,recognize,CoV-2 S protein
367,50 S2 %,react to,other proteins
368,50 S2 %,react to,virus
369,50 S2 %,suggesting,reactivity
370,50 S2 %,suggesting,previous common colds caused
371,50 S2 %,suggesting,other coronaviruses
372,severity,attributed to,severity
373,what,know as,cytokine storm
374,Levels,associated with,COVID-19 disease severity
375,Treatment,combat as,cytokine storm
376,Treatment,combat as,cytokine storm
377,Treatment,leading,causes
378,Treatment,leading,morbidity and
379,Treatment,leading,COVID-19 disease
380,cytokine storm,is,acute hyperinflammatory response
381,cytokine storm,is,clinical illness
382,cytokine storm,is,array
383,cytokine storm,is,diseases
384,cytokine storm,is,COVID-19
385,cytokine storm,related to,worse prognosis and
386,storm,cause,acute respiratory distress syndrome
387,storm,cause,blood clotting events
388,storm,cause,such strokes
389,production,become,cytokine storm
390,cells,involved in,release
391,cells,involved in,inflammatory cytokines affecting
392,cells,involved in,nervous system
393,cells,involved in,cytokine storms
394,cells,involved in,CNS
395,they,suffering from,complications and
396,they,suffering from,other disease types
397,they,suffering from,coronaviruses
398,they,identified as,vulnerable group
399,they,take,supplementary preventive measures
400,pregnant women,increased,risk
401,pregnant women,increased,grave consequences
402,pregnant women,increased,virus
403,SARS CoV-2,affect in,period
404,SARS CoV-2,affect in,pregnancy
405,SARS CoV-2,affect in,different ways
406,COVID-19 infection,cause On,increased rates
407,COVID-19 infection,cause On,unfavorable outcomes
408,COVID-19 infection,cause On,course
409,COVID-19 infection,cause On,pregnancy
410,examples,refer to,fetal death
411,examples,refer to,22 or
412,examples,completed,weeks
413,examples,completed,pregnancy as
414,examples,bear,children
415,examples,completed,life
416,COVID-19,diagnosed on,basis
417,COVID-19,diagnosed on,symptoms
418,COVID-19,using,reverse polymerase chain reaction
419,COVID-19,using,infected acid secretions
420,chest CT scans,diagnose in,individuals
421,chest CT scans,diagnose in,high clinical suspicion
422,chest CT scans,diagnose in,infection
423,Detection,is,serological tests
424,Detection,detect in,antibodies produced
425,Detection,detect in,body
426,Detection,detect in,response
427,Detection,detect in,infection
428,standard methods,detect,presence
429,standard methods,detect,viral RNA fragments
430,tests,detect,RNA but
431,RNA ability,determine,duration
432,RNA ability,determine,infectivity
433,RNA ability,determine,patients
434,test,do on,respiratory samples obtained
435,test,do on,nasopharyngeal swab
436,Results,are,hours
437,WHO,published for,several testing protocols
438,WHO,published for,disease
439,Several laboratories,developed,serological tests
440,Several laboratories,detect,antibodies produced
441,Several laboratories,detect,body
442,Several laboratories,detect,response
443,Several laboratories,detect,infection
444,Several,evaluated by,Public Health England
445,Several,approved for,use
446,Several,approved for,UK
447,CEBM,mounting,evidence
448,good proportion,mounting,mild cases and
449,good proportion,mounting,testing quarantine or
450,good proportion,mounting,hospital
451,good proportion,clearing,harmless virus particles
452,good proportion,clearing,which
453,good proportion,clearing,mild cases and
454,good proportion,clearing,testing quarantine or
455,good proportion,clearing,hospital immune system
456,good proportion,called for,international effort
457,good proportion,calibrate,testing
458,UK government,issued On,guidance
459,UK government,issued On,procedures
460,UK government,implemented in,laboratories
461,UK government,provide,assurance
462,UK government,provide,positive CoV-2 RNA
463,UK government,provide,results
464,UK government,provide,periods
465,UK government,provide,low prevalence
466,UK government,is,predictive value
467,UK government,is,positive test results
468,Chest CT scans,diagnose in,individuals
469,Chest CT scans,diagnose in,high clinical suspicion
470,Chest CT scans,diagnose in,infection
471,Chest CT scans,recommended for,routine screening
472,Bilateral glass opacities,are,early infection
473,features,feature on,chest radiographs and
474,features,computed,people
475,who,include,asymmetric peripheral glass opacities
476,who,include,pleural effusions
477,Many groups,created,COVID-19 datasets
478,Many groups,include,imagery
479,Many groups,include,Italian Radiological Society
480,Many groups,compiled,international online database
481,Many groups,compiled,imaging findings
482,Many groups,confirmed,cases
483,imaging,overlap with,confirmation
484,PCR,is,limited specificity
485,large study,result to,results
486,large study,result to,PCR
487,imaging,is,infection
488,WHO,code,U07.1
489,WHO,code,deaths
490,WHO,confirmed,CoV-2 infection and
491,WHO,confirmed,deaths
492,WHO,diagnosed,COVID-19
493,WHO,confirmed,CoV-2 infection
494,main pathological findings,reduce,chances
495,main pathological findings,reduce,infection
496,main pathological findings,staying at,home
497,main pathological findings,wearing,mask
498,main pathological findings,wearing,public
499,main pathological findings,avoiding,crowded places
500,main pathological findings,keeping from,distance
501,main pathological findings,keeping from,others
502,main pathological findings,ventilating,indoor spaces
503,main pathological findings,managing,potential exposure durations
504,main pathological findings,washing with,hands
505,main pathological findings,washing with,soap and
506,main pathological findings,washing with,twenty seconds
507,main pathological findings,practising,good respiratory hygiene
508,main pathological findings,touching with,eyes
509,main pathological findings,touching with,unwashed hands
510,they,advised by,CDC
511,they,get,medical care
512,they,visiting,healthcare provider
513,they,wear before,face mask
514,they,entering,healthcare office
515,they,entering,room or
516,they,entering,person
517,they,cover,coughs
518,they,sneeze with,tissue
519,they,wash with,hands
520,they,wash with,soap and
521,they,sharing,personal household items
522,first COVID-19 vaccine,granted on,regulatory approval
523,first COVID-19 vaccine,granted on,2 December
524,first COVID-19 vaccine,granted on,UK medicines regulator MHRA
525,first COVID-19 vaccine,evaluated for,emergency use authorization
526,first COVID-19 vaccine,evaluated for,US FDA
527,first COVID-19 vaccine,evaluated for,several other countries
528,guidelines,recommend outside,medication
529,guidelines,recommend outside,prevention
530,guidelines,recommend outside,COVID-19
531,guidelines,recommend outside,before exposure
532,guidelines,recommend outside,CoV-2 virus
533,guidelines,recommend outside,setting
534,guidelines,recommend outside,clinical trial
535,other prophylactic measures,delay,epidemic peak
536,other prophylactic measures,flattening,curve
537,health services,allowing for,better treatment
538,health services,allowing for,active cases
539,health services,delaying,additional cases
540,COVID‑19 vaccine,acquired,immunity
541,COVID‑19 vaccine,acquired,severe acute respiratory syndrome coronavirus 2
542,COVID‑19 vaccine,cause,coronavirus disease 2019
543,body,established,knowledge
544,body,existed about,structure and
545,body,existed about,coronaviruses
546,body,causing,diseases
547,body,causing,severe acute respiratory syndrome
548,knowledge,accelerated during,development
549,knowledge,accelerated during,various vaccine technologies
550,knowledge,accelerated during,early 2020
551,CoV-2 genetic sequence data,shared through,GISAID
552,CoV-2 genetic sequence data,shared through,19 March
553,global pharmaceutical industry,announced by,major commitment
554,global pharmaceutical industry,address,COVID-19
555,several COVID‑19 vaccines,demonstrated In,efficacy
556,several COVID‑19 vaccines,demonstrated In,95 %
557,several COVID‑19 vaccines,preventing,symptomatic COVID‑19 infections
558,18 vaccines,authorized by,one national regulatory authority
559,18 vaccines,authorized by,public use
560,18 vaccines,inactivated,Medical Sciences
561,308 vaccine candidates,are,various stages
562,308 vaccine candidates,are,development
563,308 vaccine candidates,are,73
564,308 vaccine candidates,are,clinical research
565,308 vaccine candidates,including,24
566,308 vaccine candidates,including,Phase
567,Many countries,phased,distribution plans
568,Many countries,prioritize,those
569,Many countries,prioritize,highest risk
570,Many countries,prioritize,complications
571,Many countries,prioritize,such elderly
572,Many countries,prioritize,high risk
573,Many countries,prioritize,exposure and
574,Many countries,prioritize,healthcare workers
575,Single dose interim use,is,consideration
576,Single dose interim use,extend to,vaccination
577,Single dose interim use,extend to,many people
578,individuals,wear,medical face coverings
579,individuals,wear,public settings
580,individuals,increased,transmission
581,recommendation,reduce by,spread
582,recommendation,reduce by,disease
583,recommendation,reduce by,symptomatic individuals
584,recommendation,established,preventive measures
585,recommendation,established,social distancing
586,volume distance,limit,expiratory droplets
587,face,covering without,vents or
588,face,filter,particles containing
589,face,filter,virus
590,face,inhaled,inhaled
591,face,exhaled,air
592,face,reducing,chances
593,face,reducing,infection
594,mask,include,exhalation valve
595,mask,noticed,that
596,mask,transmit despite,virus
597,mask,transmit despite,CoV-2 virus
598,mask,transmit despite,certification
599,masks,are,infected wearers
600,masks,stop in,pandemic
601,masks,stop in,large scale
602,Many countries,mandate,use
603,Many countries,mandate,face masks or
604,Many countries,mandate,coverings
605,Many countries,mandate,members
606,Many countries,mandate,public
607,Many countries,limit,spread
608,Many countries,limit,virus
609,Masks,recommended for,those
610,who,taking of,care
611,who,taking of,someone
612,who,have,disease
613,CDC,covering with,mouth and
614,CDC,covering with,tissue
615,CDC,using,inside
616,CDC,using,elbow
617,Healthcare professionals,interacting with,people
618,who,use in,respirators
619,who,certified,N95 or
620,who,certified,addition
621,who,certified,other personal protective equipment
622,increasing,increasing,rate
623,increasing,increasing,air change
624,increasing,decreasing,recirculation
625,increasing,decreasing,air
626,increasing,increasing,use
627,increasing,increasing,outdoor air
628,increasing,reduce,transmission
629,WHO,recommend in,ventilation and
630,WHO,recommend in,public air spaces
631,WHO,clear,infectious aerosols
632,respiratory particles,enclosed,spaces
633,respiratory particles,enclosed,inadequate ventilation
634,people,engage in,physical exertion
635,people,raise,people voice
636,people,increase,exhalation
637,people,increase,respiratory droplets
638,exposure,Prolonged,conditions
639,exposure,lead to,higher risk
640,exposure,lead to,infection
641,individuals,wash with,hands
642,individuals,wash with,soap and
643,individuals,wash with,twenty seconds
644,individuals,going to,toilet
645,hands,blowing,nose
646,CDC,based,hand sanitiser
647,CDC,based,60 % alcohol
648,WHO,provide For,two formulations
649,WHO,provide For,local production
650,antimicrobial activity,arise from,ethanol or
651,Hydrogen peroxide,eliminate in,bacterial spores
652,Hydrogen peroxide,eliminate in,alcohol
653,Hydrogen peroxide,is,hand antisepsis
654,Glycerol,added as,humectant
655,distancing,know as,physical distancing
656,distancing,include,infection control actions intended
657,distancing,slow by,spread
658,distancing,slow by,disease
659,distancing,minimising,close contact
660,distancing,minimising,individuals
661,Methods,include,quarantines
662,Methods,include,travel schools
663,Individuals,apply by,social distancing methods
664,Individuals,staying at,home
665,Individuals,limiting,travel
666,Individuals,avoiding,crowded areas
667,Individuals,using,contact greetings
668,Individuals,distancing,Individuals
669,Individuals,distancing,others
670,Many governments,recommending,social distancing
671,Many governments,recommending,regions affected
672,Many governments,recommending,outbreak
673,Outbreaks,occurred in,prisons
674,Outbreaks,occurred in,crowding
675,Outbreaks,enforce,adequate social distancing
676,many,aging In,prisoner population
677,many,are,high risk
678,many,are,poor outcomes
679,many,are,COVID-19
680,many,are,high rates
681,many,coexisting,heart disease
682,many,coexisting,quality healthcare
683,Coronaviruses,survive on,surfaces
684,Coronaviruses,survive on,hours
685,Coronaviruses,survive on,days
686,person,touch,dirty surface
687,they,deposit at,virus
688,they,deposit at,eyes
689,CoV-2 virus,enter,body
690,CoV-2 virus,cause,infection
691,contact,indicate,infected surfaces
692,contact,is,main COVID-19
693,contact,leading to,recommendations
694,contact,optimised,disinfection procedures
695,contact,avoid,issues
696,contact,avoid,such increase
697,contact,avoid,antimicrobial resistance
698,contact,avoid,use
699,contact,avoid,inappropriate cleaning products and
700,Deep cleaning,criticized as,hygiene theater
701,Deep cleaning,giving,false sense
702,Deep cleaning,giving,security
703,Deep cleaning,giving,something
704,Deep cleaning,spread through,air
705,virus,depend on,type
706,virus,depend on,surface
707,Coronaviruses,exposed to,UV light
708,Coronaviruses,exposed to,sunlight
709,temperature,is,room temperature or
710,types,including as,plastic
711,stainless virus,remain On,several days
712,stainless virus,remain On,room temperature
713,stainless virus,remain On,ideal conditions
714,virus,die after,few hours
715,virus,die on,porous surfaces
716,virus,die on,porous surfaces
717,virus,die on,capillary action
718,virus,die on,pores and
719,two,are,surgical N95 respirator which
720,CDC,say,most situations
721,cleaning,cleaning,surfaces
722,cleaning,cleaning,soap or
723,cleaning,reduce,risk
724,cleaning,reduce,transmission
725,COVID-19 case,confirmed at,facility
726,COVID-19 case,confirmed at,such office or
727,day areas,confirmed at,such offices
728,shared,shared,electronic equipment
729,shared,shared,tablets
730,shared,used by,ill persons
731,Surfaces,decontaminated with,62–71 percent ethanol
732,datasheet,authorised,substances
733,datasheet,authorised,disinfection
734,datasheet,authorised,food industry
735,datasheet,including,suspension or
736,datasheet,tested,surface
737,use,use,dilution volumes
738,use,see in,supplementary material
739,Self isolation,recommended for,those diagnosed
740,Self isolation,recommended for,COVID-19
741,who,suspect,those diagnosed
742,who,suspect,COVID-19
743,Health agencies,issued,detailed instructions
744,Health agencies,issued,proper self isolation
745,Many governments,recommended,self quarantine
746,Many governments,recommended,entire populations
747,strongest quarantine instructions,issued,those
748,strongest quarantine instructions,issued,risk groups
749,who,exposed to,someone
750,who,exposed to,COVID-19
751,who,travelled to,country or
752,who,travelled to,widespread transmission
753,who,advised to,self quarantine
754,who,advised to,14 days
755,who,advised to,time
756,who,advised to,last possible exposure
757,T.H. Chan School,recommend,healthy diet
758,T.H. Chan School,managing,psychological stress
759,T.H. Chan School,getting,enough sleep
760,meeting,meeting,scientific guidelines
761,meeting,meeting,150 minutes
762,meeting,meeting,week
763,meeting,meeting,exercise or
764,meeting,associated with,smaller risk
765,meeting,associated with,hospitalisation and
766,meeting,associated with,COVID-19
767,meeting,considering,likely risk factors
768,meeting,considering,elevated BMI
769,vitamin D status,has,relationship
770,vitamin D status,has,COVID-19
771,vitamin D status,has,health outcomes
772,largest clinical trial,conclude in,July 2021
773,2021 Cochrane rapid review,based upon,certainty evidence
774,control measures,restricting,border travel
775,control measures,contain,spread
776,control measures,contain,COVID-19
777,screening measures,based,borders
778,screening measures,miss,many positive cases
779,border screening measures,miss,many positive cases
780,border screening measures,conducted upon,arrival
781,border screening measures,conducted upon,follow up
782,minimum 10-day quarantine,preventing,spread
783,minimum 10-day quarantine,preventing,COVID-19
784,minimum 10-day quarantine,combined with,additional control measure
785,minimum 10-day quarantine,combined with,border screening
786,cornerstone,include,treatment
787,cornerstone,relieve,symptoms
788,cornerstone,affected,vital organs
789,supportive care,include In,medication
790,supportive care,include In,such paracetamol or
791,supportive care,relieve,symptoms
792,supportive care,relieve,proper body fluids
793,they,carrying,virus
794,they,isolate,those
795,they,carrying at,virus
796,they,carrying at,home
797,they,wear,face mask
798,People,need,treatment
799,People,need,hospital
800,glucocorticoid dexamethasone,reduce,risk
801,glucocorticoid dexamethasone,reduce,death
802,Extracorporeal membrane oxygenation,address,issue
803,Extracorporeal membrane oxygenation,address,respiratory failure
804,oxygenation membrane benefits,are,consideration
805,disease,take with,mild course
806,disease,take with,few symptoms
807,disease,resembling,other common upper respiratory diseases
808,disease,resembling,common cold
809,symptoms,cause,hospitalization
810,Mild cases,recover within,two weeks
811,Mild cases,recover within,severe diseases
812,Mild cases,take,three to six weeks
813,time,died,symptom onset
814,time,died,death
815,time,ranged from,two to eight weeks
816,median time,reported,onset
817,median time,reported,symptoms and
818,people,transferred to,ICU
819,people,had,median time
820,people,had,ten days
821,people,had,hospitalisation and
822,prothrombin time,Prolonged,reactive protein admission
823,prothrombin time,Prolonged,hospital
824,prothrombin time,associated with,severe course
825,prothrombin time,associated with,COVID-19
826,prothrombin time,associated with,transfer
827,prothrombin time,associated with,ICU
828,10 % to 20,suggest,% people
829,10 % to 20,suggest,COVID-19
830,10 % to 20,experience,symptoms lasting
831,10 % to 20,experience,month
832,who,admitted,severe disease report
833,who,admitted,term problems
834,who,including,fatigue and
835,who,including,breath
836,chief Tedros Adhanom,warned,significant number
837,chief Tedros Adhanom,warned,people
838,COVID virus,pose to,range
839,COVID virus,pose to,term effects
840,WHO chief Tedros Adhanom,described,vast spectrum
841,WHO chief Tedros Adhanom,described,COVID-19 symptoms
842,WHO chief Tedros Adhanom,fluctuate over,time
843,Symptoms,affect,system
844,Symptoms,affect,body
845,Infected people,reported,cyclical bouts
846,Infected people,reported,fatigue
847,Infected people,reported,complete exhaustion
848,9 %,return for,hospital treatment
849,9 %,return for,two months
850,9 %,return for,discharge
851,average,was,first hospital visit
852,advanced age,are,65 years
853,advanced age,are,age
854,advanced age,are,chronic condition
855,advanced age,are,such diabetes
856,air pollution,associated with,risk factors
857,obesity,increased,health risk
858,obesity,increased,COVID-19
859,It,are,higher risk
860,It,getting from,SARS CoV-2
861,One research,looked into,COVID-19 infections
862,One research,hospitalized,kidney transplant recipients
863,One research,find,mortality rate
864,One research,find,11 %
